epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,12959.7,1.27398,1.02886,1.69486,0.91431,0.4375,0.46409,0.27668,1.45218,1.07259,2.2946,0.0013718,0.0013718,0.0013718
141,13035.7,1.17979,0.94434,1.66132,0.94759,0.40042,0.45606,0.24986,1.66552,1.09554,2.58932,0.00136781,0.00136781,0.00136781
142,13115.3,1.25816,1.05489,1.76584,0.62698,0.32812,0.15008,0.07948,1.67776,1.68464,2.6512,0.00136381,0.00136381,0.00136381
143,13194.9,1.22355,1.02423,1.67922,0.96062,0.375,0.4443,0.24889,1.62052,1.11906,2.57873,0.00135978,0.00135978,0.00135978
144,13278.4,1.29451,1.12577,1.77276,0.95891,0.375,0.45852,0.245,1.64986,1.04415,2.63064,0.00135574,0.00135574,0.00135574
145,13367.6,1.25375,1.03938,1.69951,0.91222,0.42188,0.47865,0.26391,1.52696,0.96003,2.46431,0.00135167,0.00135167,0.00135167
146,13446.9,1.14879,1.00767,1.61941,0.9693,0.39062,0.48675,0.26202,1.56593,0.99622,2.5027,0.00134758,0.00134758,0.00134758
147,13525.9,1.26412,1.07246,1.72219,0.96199,0.37992,0.47668,0.22872,1.89767,1.03793,2.95457,0.00134348,0.00134348,0.00134348
148,13607.1,1.21769,0.99434,1.65952,0.94781,0.40232,0.47623,0.20321,1.93885,1.03732,3.04775,0.00133935,0.00133935,0.00133935
149,13690.8,1.2485,1.05824,1.66493,0.97976,0.37056,0.4517,0.20449,1.88802,1.13284,2.97074,0.00133521,0.00133521,0.00133521
150,13776.1,1.22487,1.06403,1.66626,0.97857,0.375,0.46805,0.22399,1.84037,1.19761,2.88711,0.00133104,0.00133104,0.00133104
151,13853.8,1.20612,0.95016,1.65649,0.98574,0.40625,0.54177,0.27428,1.64985,1.14914,2.5748,0.00132685,0.00132685,0.00132685
152,13938.3,1.3313,1.11047,1.70774,0.96957,0.42188,0.53099,0.2954,1.48476,0.95174,2.32541,0.00132265,0.00132265,0.00132265
153,14022.5,1.24795,1.01171,1.71886,0.99312,0.40625,0.53407,0.28544,1.641,0.95991,2.54136,0.00131843,0.00131843,0.00131843
154,14109.1,1.2608,1.05802,1.72691,0.93823,0.42188,0.57255,0.27674,1.71358,0.83997,2.64379,0.00131419,0.00131419,0.00131419
155,14192,1.2499,1.03333,1.6705,1,0.37186,0.51011,0.26848,1.67937,0.93375,2.6153,0.00130993,0.00130993,0.00130993
156,14276,1.24808,0.95659,1.64817,0.9937,0.375,0.4842,0.26028,1.68399,0.96446,2.70261,0.00130565,0.00130565,0.00130565
157,14362.7,1.15129,0.95594,1.61335,0.96287,0.38959,0.51476,0.26064,1.8001,0.91439,2.82482,0.00130135,0.00130135,0.00130135
158,14449.1,1.17809,0.88663,1.65193,0.98065,0.38816,0.47112,0.24939,1.68243,0.971,2.5697,0.00129703,0.00129703,0.00129703
159,14536.3,1.25311,1.03581,1.67529,0.97946,0.375,0.47196,0.24994,1.63364,1.00963,2.52936,0.0012927,0.0012927,0.0012927
160,14626.5,1.22213,0.97675,1.70817,0.98068,0.38873,0.49695,0.25243,1.67595,1.06519,2.59333,0.00128835,0.00128835,0.00128835
161,14715.2,1.17835,0.96263,1.61427,0.99123,0.375,0.45631,0.25246,1.59945,1.01384,2.48769,0.00128398,0.00128398,0.00128398
162,14802.5,1.22251,0.95578,1.65763,0.95885,0.42188,0.44808,0.24469,1.63585,0.97125,2.5379,0.00127959,0.00127959,0.00127959
163,14891.6,1.2249,0.98596,1.64046,0.96293,0.39025,0.45762,0.23942,1.68044,0.96503,2.61477,0.00127519,0.00127519,0.00127519
164,14981.1,1.23626,0.95019,1.62209,0.95629,0.375,0.44252,0.22973,1.71621,1.04353,2.62506,0.00127077,0.00127077,0.00127077
165,15070.2,1.13676,0.88074,1.57621,0.96834,0.375,0.44414,0.25091,1.60509,1.0245,2.47418,0.00126633,0.00126633,0.00126633
166,15159.9,1.25086,1.01871,1.70506,0.98422,0.375,0.45914,0.24097,1.62167,1.14518,2.49785,0.00126188,0.00126188,0.00126188
167,15254.4,1.17097,0.94408,1.59975,0.99091,0.375,0.46084,0.25414,1.57163,1.1273,2.43338,0.00125741,0.00125741,0.00125741
168,15347.5,1.16263,0.98556,1.62255,0.99605,0.375,0.47965,0.24094,1.72925,1.08572,2.57374,0.00125292,0.00125292,0.00125292
169,15433.7,1.22995,0.95771,1.71558,0.98962,0.375,0.50653,0.22323,1.85881,1.0975,2.78894,0.00124842,0.00124842,0.00124842
170,15520.5,1.11098,0.93586,1.58191,0.99337,0.375,0.44961,0.18174,2.01286,1.1061,3.06551,0.0012439,0.0012439,0.0012439
171,15612.8,1.20463,1.01711,1.64389,0.97929,0.39062,0.43854,0.20162,1.82983,1.09405,2.8097,0.00123936,0.00123936,0.00123936
172,15705.3,1.1841,0.94372,1.6396,0.991,0.39062,0.43477,0.24211,1.68797,1.06825,2.54692,0.00123481,0.00123481,0.00123481
173,15798.4,1.21083,0.98827,1.6438,0.97884,0.42188,0.46928,0.26869,1.51759,0.91118,2.37479,0.00123024,0.00123024,0.00123024
174,15892.4,1.20645,1.01261,1.65636,1,0.41605,0.49885,0.25066,1.73077,0.87813,2.69009,0.00122566,0.00122566,0.00122566
175,15989.5,1.26018,1.0246,1.70319,1,0.40574,0.49956,0.21168,1.94941,1.05744,2.97634,0.00122106,0.00122106,0.00122106
176,16081.7,1.12146,0.90495,1.60441,0.97399,0.4375,0.46877,0.25121,1.69994,1.08825,2.57884,0.00121645,0.00121645,0.00121645
177,16176.3,1.19575,0.99327,1.63275,0.95712,0.40625,0.45298,0.27081,1.4614,1.04017,2.2986,0.00121183,0.00121183,0.00121183
178,16272,1.21454,1.04815,1.646,0.92171,0.4375,0.45834,0.26469,1.49984,1.0394,2.37126,0.00120718,0.00120718,0.00120718
179,16370.5,1.10221,0.84071,1.56757,0.95969,0.39062,0.48051,0.26307,1.61371,1.06928,2.51817,0.00120253,0.00120253,0.00120253
