epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,6429.94,1.05227,0.77278,1.48068,0.97061,0.375,0.45848,0.23724,1.8283,1.08681,2.70852,0.00127519,0.00127519,0.00127519
164,6474.03,1.08283,0.7924,1.50994,0.96281,0.38896,0.91822,0.38474,1.76414,1.08033,2.60415,0.00127077,0.00127077,0.00127077
165,6513.28,1.09463,0.77777,1.48634,0.73865,0.95312,0.93612,0.49055,1.65117,0.90574,2.47198,0.00126633,0.00126633,0.00126633
166,6554.25,1.01945,0.7299,1.45961,0.94961,0.41837,0.94155,0.38198,1.77181,0.90971,2.69939,0.00126188,0.00126188,0.00126188
167,6595.2,1.02434,0.77827,1.45917,0.94727,0.42188,0.93015,0.39701,1.67331,0.94818,2.49482,0.00125741,0.00125741,0.00125741
168,6631.81,1.11579,0.81918,1.50914,0.97123,0.40625,0.67918,0.33106,1.60294,1.04699,2.37447,0.00125292,0.00125292,0.00125292
169,6671.44,1.15201,0.81208,1.59202,0.97866,0.42188,0.43958,0.25882,1.66428,1.0483,2.44046,0.00124842,0.00124842,0.00124842
170,6709.85,1.07015,0.78007,1.50268,0.96292,0.4375,0.44033,0.21512,2.00166,1.14941,2.91467,0.0012439,0.0012439,0.0012439
171,6748.53,1.10594,0.77114,1.55311,1,0.40364,0.4445,0.23054,1.8903,1.12446,2.85334,0.00123936,0.00123936,0.00123936
172,6787.74,1.11934,0.79607,1.54123,0.98077,0.42188,0.44651,0.26023,1.53224,1.10479,2.31469,0.00123481,0.00123481,0.00123481
173,6828.85,1.07078,0.82482,1.52485,0.9485,0.42188,0.44311,0.27082,1.48464,1.09077,2.27104,0.00123024,0.00123024,0.00123024
174,6865.37,1.07497,0.76543,1.48497,0.99513,0.4375,0.45332,0.24823,1.66293,1.05141,2.58283,0.00122566,0.00122566,0.00122566
175,6903.88,1.0662,0.7596,1.53133,0.98269,0.43571,0.49189,0.23133,1.95857,1.03052,2.94592,0.00122106,0.00122106,0.00122106
176,6942.24,1.11748,0.82273,1.55201,0.88742,0.42188,0.44771,0.23192,1.6981,1.08286,2.59036,0.00121645,0.00121645,0.00121645
177,6978.81,1.07642,0.78652,1.53079,0.96735,0.45312,0.52347,0.28275,1.54058,0.93247,2.35343,0.00121183,0.00121183,0.00121183
