epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,278.814,1.16098,0.883,1.63804,0.91798,0.39062,0.42498,0.22273,1.62769,1.21181,2.38225,0.00144335,0.00144335,0.00144335
122,281.055,1.22131,1.01005,1.66254,0.47841,0.42188,0.44139,0.27272,1.41205,1.03628,2.14321,0.00143979,0.00143979,0.00143979
123,283.247,1.13145,0.91811,1.55738,0.47119,0.35938,0.42649,0.28767,1.33939,0.98883,2.1121,0.00143621,0.00143621,0.00143621
124,285.381,1.10897,0.88967,1.55504,0.32999,0.92188,0.45782,0.27712,1.44374,1.17653,2.20666,0.0014326,0.0014326,0.0014326
125,287.658,1.20213,0.92203,1.59529,0.36205,0.90692,0.45024,0.22993,1.58402,1.37226,2.44844,0.00142897,0.00142897,0.00142897
126,289.905,1.20569,0.94703,1.5862,0.45977,0.82812,0.49328,0.23454,1.66759,1.30975,2.61004,0.00142531,0.00142531,0.00142531
127,292.058,1.19482,0.90247,1.6341,0.42084,0.35938,0.43853,0.24556,1.67057,1.09232,2.58174,0.00142164,0.00142164,0.00142164
128,294.197,1.09744,0.87699,1.50598,0.97984,0.37209,0.42758,0.25278,1.50399,1.15684,2.41003,0.00141794,0.00141794,0.00141794
129,296.424,1.18484,0.90425,1.61529,0.97909,0.32812,0.41502,0.24579,1.54695,1.2258,2.42694,0.00141421,0.00141421,0.00141421
130,298.522,1.18599,0.96864,1.63032,0.98556,0.34375,0.4444,0.26393,1.4847,1.16754,2.28975,0.00141047,0.00141047,0.00141047
131,300.636,1.08925,0.85086,1.54593,0.68235,0.875,0.67382,0.4035,1.47803,0.9833,2.29757,0.0014067,0.0014067,0.0014067
132,302.768,1.14022,0.8752,1.60405,0.8635,0.75018,0.93455,0.51421,1.52427,0.98967,2.42593,0.00140291,0.00140291,0.00140291
133,304.897,1.10996,0.93749,1.57647,0.72067,0.69664,0.87546,0.39075,1.79305,1.17846,2.59296,0.0013991,0.0013991,0.0013991
134,307.077,1.12982,0.90845,1.54837,0.82956,0.67188,0.90359,0.44193,1.59102,1.24018,2.30563,0.00139526,0.00139526,0.00139526
135,309.223,1.08424,0.78961,1.51765,0.68374,0.83748,0.92085,0.44479,1.65173,1.24488,2.38525,0.0013914,0.0013914,0.0013914
136,311.367,1.08712,0.84437,1.52825,0.79698,0.80218,0.92921,0.43209,1.75863,1.11934,2.56638,0.00138753,0.00138753,0.00138753
137,313.54,1.19951,0.88271,1.62511,0.86522,0.78233,0.93203,0.46408,1.60409,1.01547,2.41285,0.00138363,0.00138363,0.00138363
138,315.671,1.14225,0.88317,1.60554,0.66158,0.88665,0.94336,0.49642,1.41685,0.91732,2.20761,0.00137971,0.00137971,0.00137971
139,317.794,1.09312,0.83691,1.53217,0.8287,0.87533,0.9411,0.46405,1.45664,0.93985,2.22986,0.00137576,0.00137576,0.00137576
140,319.915,1.07624,0.87493,1.51842,0.52103,0.96393,0.69577,0.2968,1.65356,0.96609,2.43706,0.0013718,0.0013718,0.0013718
141,322.074,1.16048,0.94648,1.63034,0.32168,0.96875,0.52076,0.24927,1.76931,0.9551,2.6033,0.00136781,0.00136781,0.00136781
142,324.217,1.11839,0.81972,1.5325,0.87948,0.44286,0.5021,0.27549,1.69849,0.97913,2.57014,0.00136381,0.00136381,0.00136381
143,326.246,1.13966,0.88734,1.59624,0.92894,0.40625,0.47158,0.25879,1.57294,1.04121,2.4021,0.00135978,0.00135978,0.00135978
144,328.373,1.09082,0.84227,1.52649,0.90804,0.375,0.424,0.22366,1.73377,1.19935,2.5954,0.00135574,0.00135574,0.00135574
145,330.633,1.1099,0.88874,1.54262,1,0.37497,0.42554,0.22946,1.68411,1.26749,2.57092,0.00135167,0.00135167,0.00135167
146,332.778,1.07755,0.80593,1.54724,1,0.38391,0.43074,0.23646,1.72684,1.274,2.57925,0.00134758,0.00134758,0.00134758
147,334.899,1.09962,0.91104,1.53782,0.9803,0.38112,0.43475,0.24666,1.63044,1.23527,2.50712,0.00134348,0.00134348,0.00134348
148,336.993,1.06802,0.79649,1.51258,0.88852,0.4375,0.46084,0.23357,1.74351,1.06777,2.56817,0.00133935,0.00133935,0.00133935
149,339.205,1.05946,0.85135,1.50676,0.85992,0.44167,0.44736,0.22354,1.88372,1.21105,2.77364,0.00133521,0.00133521,0.00133521
150,341.366,1.06386,0.82504,1.50586,0.93896,0.40625,0.4454,0.23272,1.71715,1.28079,2.57397,0.00133104,0.00133104,0.00133104
151,343.48,1.07679,0.81145,1.5196,0.9649,0.41405,0.44142,0.25412,1.56685,1.21257,2.36732,0.00132685,0.00132685,0.00132685
152,345.582,1.08321,0.81928,1.55212,0.96518,0.40625,0.44224,0.24357,1.60961,1.08642,2.37914,0.00132265,0.00132265,0.00132265
153,347.647,1.16221,0.89067,1.59376,0.97747,0.39062,0.48541,0.27078,1.49554,0.97314,2.20725,0.00131843,0.00131843,0.00131843
154,349.8,1.07532,0.83163,1.54512,0.99358,0.40625,0.46597,0.28571,1.42945,0.90778,2.13775,0.00131419,0.00131419,0.00131419
155,351.977,1.06827,0.8713,1.51846,0.93581,0.42437,0.4468,0.27656,1.55085,0.94729,2.23465,0.00130993,0.00130993,0.00130993
156,354.133,0.98333,0.79737,1.43042,0.97812,0.34375,0.40794,0.26857,1.42922,1.05755,2.16963,0.00130565,0.00130565,0.00130565
157,356.313,0.99162,0.75195,1.46393,0.94177,0.35576,0.4166,0.26087,1.4626,0.952,2.30916,0.00130135,0.00130135,0.00130135
158,358.585,1.02833,0.76417,1.49455,0.87555,0.40625,0.42471,0.27262,1.4571,0.91424,2.32029,0.00129703,0.00129703,0.00129703
159,360.777,1.032,0.79426,1.45997,0.95178,0.375,0.43357,0.28691,1.36997,0.81768,2.18733,0.0012927,0.0012927,0.0012927
160,362.893,1.05594,0.80332,1.51299,0.92132,0.40625,0.45581,0.29462,1.441,0.89614,2.27471,0.00128835,0.00128835,0.00128835
161,365.118,1.06269,0.80966,1.50267,0.92944,0.375,0.48145,0.28763,1.50024,0.89756,2.36563,0.00128398,0.00128398,0.00128398
162,367.263,1.0241,0.74449,1.47283,0.92658,0.36324,0.59174,0.32696,1.56818,0.89964,2.3897,0.00127959,0.00127959,0.00127959
163,369.389,1.05529,0.81789,1.48551,0.9311,0.39108,0.68856,0.35298,1.61998,0.8064,2.46263,0.00127519,0.00127519,0.00127519
164,371.515,1.05209,0.8142,1.4854,0.85851,0.39602,0.67423,0.40093,1.41296,0.95051,2.25176,0.00127077,0.00127077,0.00127077
165,373.55,1.07571,0.79744,1.49769,0.9598,0.35938,0.69851,0.40002,1.35863,0.94288,2.15848,0.00126633,0.00126633,0.00126633
166,375.6,1.00956,0.74149,1.4651,0.93798,0.4375,0.56741,0.32472,1.36683,0.78541,2.12823,0.00126188,0.00126188,0.00126188
167,377.716,1.01146,0.79278,1.44714,0.94767,0.40116,0.95511,0.35555,1.3733,0.77147,2.15231,0.00125741,0.00125741,0.00125741
168,379.806,1.09885,0.80138,1.50575,1,0.40459,0.95101,0.38459,1.3353,0.75752,2.10431,0.00125292,0.00125292,0.00125292
169,381.915,1.10562,0.79136,1.55159,0.99663,0.375,0.69321,0.3615,1.35439,0.71568,2.1574,0.00124842,0.00124842,0.00124842
170,383.945,1.05265,0.79857,1.50516,0.99932,0.39062,0.92346,0.46445,1.67375,0.8629,2.58061,0.0012439,0.0012439,0.0012439
171,386.169,1.06667,0.75391,1.53162,0.98059,0.38692,0.42588,0.25067,1.57194,1.00464,2.3965,0.00123936,0.00123936,0.00123936
